price,bedroom,bathroom,sq_ft,aircorn,pcode,tsp_en,tsp_mm,floor,overhead_tank,parquet,tiles,price_sqft
480,0,1,825,0,MMR013015,Tamwe,တာမွေ,4,False,False,False,58181.8181818182
480,0,2,700,0,MMR013044,Bahan,ဗဟန်း,5,True,False,False,68571.4285714286
480,1,1,750,1,MMR013015,Tamwe,တာမွေ,1,False,True,False,64000
480,0,1,1064,0,MMR013013,Thaketa,သာကေတ,1,False,False,False,45112.7819548872
480,0,1,650,0,MMR013042,Mayangone,မရမ်းကုန်း,0,False,False,False,73846.1538461538
480,1,2,1026,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,5,False,False,True,46783.6257309942
485,2,2,918,0,MMR013013,Thaketa,သာကေတ,1,,,,52832.2440087146
485,2,1,920,0,MMR013013,Thaketa,သာကေတ,1,False,False,False,52717.3913043478
490,2,1,986,0,MMR013042,Mayangone,မရမ်းကုန်း,1,False,True,True,49695.7403651116
490,1,1,972,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,5,False,False,True,50411.5226337449
490,0,1,1026,0,MMR013019,Dagon Myothit (North),ဒဂုံမြို့သစ်မြောက်ပိုင်း,1,False,False,False,47758.2846003899
490,0,0,918,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,6,False,False,False,53376.9063180828
490,0,1,972,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,1,,,,50411.5226337449
490,0,1,972,0,MMR013011,South Okkalapa,တောင်ဥက္ကလာပ,1,,,,50411.5226337449
490,2,1,825,0,MMR013022,Mingalartaungnyunt,မင်္ဂလာတောင်ညွန့်,4,False,True,True,59393.9393939394
490,2,2,1500,1,MMR013015,Tamwe,တာမွေ,8,False,True,True,32666.6666666667
490,1,2,750,2,MMR013022,Mingalartaungnyunt,မင်္ဂလာတောင်ညွန့်,5,,,,65333.3333333333
490,3,1,900,2,MMR013015,Tamwe,တာမွေ,4,False,True,False,54444.4444444444
490,0,1,825,0,MMR013015,Tamwe,တာမွေ,1,False,False,False,59393.9393939394
490,1,1,784,2,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,2,False,True,False,62500
490,1,1,756,2,MMR013009,Thingangyun,သင်္ဃန်းကျွန်း,2,False,True,True,64814.8148148148
490,1,1,1018,0,MMR013012,North Okkalapa,မြောက်ဥက္ကလာပ,0,False,False,False,48133.5952848723
